date,sentiment_score
2011-11-10,0.05303333333333334
2011-11-11,0.1249125
2011-11-14,-0.06680000000000001
2011-11-15,-0.054400000000000004
2011-11-16,0.1042095238095238
2011-11-17,-0.22424999999999998
2011-11-18,-0.19605999999999998
2011-11-21,0.11523333333333334
2011-11-22,-0.14746666666666666
2011-11-23,0.351975
2011-11-28,0.0652125
2011-11-29,-0.2050666666666667
2011-11-30,-0.06509999999999998
2011-12-01,-0.21055000000000001
2011-12-02,0.12288888888888888
2011-12-05,-0.046141666666666685
2011-12-06,0.11154444444444442
2011-12-07,0.011413043478260873
2011-12-08,0.19895714285714286
2011-12-09,0.18883125
2011-12-12,-0.07179166666666667
2011-12-13,0.048523076923076926
2011-12-14,-0.03127
2011-12-15,0.18374545454545455
2011-12-16,0.22973333333333334
2011-12-19,0.052427272727272725
2011-12-20,0.24096666666666666
2011-12-21,0.21395999999999998
2011-12-22,0.21512000000000003
2011-12-27,0.012027272727272732
2011-12-28,0.05230000000000003
2011-12-29,-0.13985
2011-12-30,-0.05352857142857143
2012-01-03,0.045674999999999986
2012-01-04,0.27595833333333336
2012-01-05,0.039314285714285704
2012-01-06,0.36299000000000003
2012-01-09,-0.06548888888888889
2012-01-10,0.2881666666666667
2012-01-11,0.2004
2012-01-12,-0.04430000000000002
2012-01-13,-0.045499999999999985
2012-01-16,-0.4588
2012-01-17,0.04503478260869565
2012-01-18,-0.015392307692307696
2012-01-19,0.188865
2012-01-20,-0.27475714285714287
2012-01-23,-0.052974999999999994
2012-01-24,-0.009129999999999994
2012-01-25,0.02819166666666667
2012-01-26,0.12524
2012-01-27,0.04641000000000001
2012-01-30,0.15349
2012-01-31,-0.1135090909090909
2012-02-01,-0.057814285714285714
2012-02-02,0.1591
2012-02-03,-0.0735777777777778
2012-02-05,0.21230000000000002
2012-02-06,0.11366842105263157
2012-02-07,-0.10585999999999998
2012-02-08,0.07381176470588235
2012-02-09,0.1595025641025641
2012-02-10,0.2747625
2012-02-13,0.26427
2012-02-14,-0.029308333333333336
2012-02-15,0.10579545454545455
2012-02-16,0.06096153846153844
2012-02-17,0.06877999999999998
2012-02-21,-0.12573333333333334
2012-02-22,-0.0740090909090909
2012-02-23,0.16179090909090907
2012-02-24,0.09355000000000001
2012-02-27,-0.07378
2012-02-28,0.054009090909090916
2012-02-29,0.284775
2012-03-01,0.16126666666666667
2012-03-05,0.22388461538461538
2012-03-06,-0.09310999999999998
2012-03-07,0.22680000000000003
2012-03-08,0.2989571428571428
2012-03-09,0.02260000000000002
2012-03-12,-0.05313529411764706
2012-03-13,0.07457272727272728
2012-03-14,0.09112500000000001
2012-03-15,-0.27988999999999997
2012-03-16,0.11039999999999998
2012-03-17,0.3182
2012-03-19,-0.11134
2012-03-20,0.4388888888888889
2012-03-21,0.053012500000000004
2012-03-22,0.11961999999999999
2012-03-23,0.07849999999999999
2012-03-26,0.1467125
2012-03-28,-0.06666666666666667
2012-03-29,-0.09537692307692308
2012-03-30,-0.003650000000000009
2012-04-02,0.141875
2012-04-03,0.2065888888888889
2012-04-04,0.07981250000000001
2012-04-05,0.08748333333333334
2012-04-06,0.3316357142857143
2012-04-09,0.08677142857142857
2012-04-10,0.06824166666666666
2012-04-11,0.108725
2012-04-12,0.0941
2012-04-13,-0.05732727272727271
2012-04-14,0.4218
2012-04-15,0.6751
2012-04-16,0.2652
2012-04-17,0.42288333333333333
2012-04-18,0.18321666666666667
2012-04-19,0.20843703703703703
2012-04-20,0.02305714285714287
2012-04-22,0.21005
2012-04-23,0.14203076923076924
2012-04-24,0.4060625
2012-04-25,-0.20095
2012-04-26,-0.1064875
2012-04-27,0.12891249999999999
2012-04-29,0.75
2012-04-30,0.09519999999999999
2012-05-01,-0.03203750000000001
2012-05-02,0.11617
2012-05-03,0.3970666666666667
2012-05-04,0.025136363636363634
2012-05-06,0.24290606060606063
2012-05-07,0.15425593220338982
2012-05-08,0.5781142857142857
2012-05-09,-0.1432125
2012-05-10,0.05795714285714286
2012-05-11,0.0452090909090909
2012-05-14,0.31577619047619043
2012-05-15,0.14741666666666667
2012-05-16,0.04508333333333333
2012-05-17,-0.06166666666666668
2012-05-18,-0.020284615384615384
2012-05-20,0.5859
2012-05-21,0.3795193548387097
2012-05-22,0.06779677419354838
2012-05-23,-0.027566666666666666
2012-05-24,0.3667818181818182
2012-05-27,-0.4019
2012-05-28,-0.4019
2012-05-29,0.05007500000000001
2012-05-30,0.0803090909090909
2012-05-31,-0.056027272727272724
2012-06-01,-0.054258823529411755
2012-06-02,0.0
2012-06-03,0.20424000000000003
2012-06-04,0.2141478260869565
2012-06-05,-0.051433333333333324
2012-06-06,0.1847
2012-06-07,0.16465
2012-06-08,-0.16601666666666667
2012-06-09,0.29846666666666666
2012-06-10,0.29846666666666666
2012-06-11,0.052546666666666665
2012-06-12,0.06929333333333333
2012-06-13,0.14451818181818182
2012-06-14,0.242925
2012-06-15,0.44457777777777774
2012-06-18,0.4654076923076923
2012-06-19,0.01251999999999998
2012-06-20,0.09335555555555555
2012-06-21,-0.10378181818181818
2012-06-22,0.2810888888888889
2012-06-25,0.20334444444444444
2012-06-26,-0.10032999999999999
2012-06-27,0.1793833333333333
2012-06-28,-0.062450000000000006
2012-06-29,0.5705727272727272
2012-07-02,0.014366666666666663
2012-07-03,0.18194761904761905
2012-07-05,0.09252666666666666
2012-07-06,0.23518750000000002
2012-07-07,0.5500833333333334
2012-07-09,0.65715
2012-07-10,0.04478333333333334
2012-07-11,0.15495384615384616
2012-07-12,-0.12925
2012-07-13,0.067348
2012-07-16,0.04930833333333332
2012-07-17,0.17033
2012-07-18,0.13287317073170732
2012-07-19,0.07788
2012-07-20,-0.26154782608695654
2012-07-23,0.007062500000000003
